# x	y	u	v	mask
382.0000	370.0000	-12.4938	 60.1477	  0.0000
394.0000	370.0000	     nan	     nan	  1.0000
406.0000	370.0000	-17.5704	 21.0507	  0.0000
418.0000	370.0000	     nan	     nan	  1.0000
430.0000	370.0000	 -2.4679	 56.9091	  0.0000
442.0000	370.0000	     nan	     nan	  1.0000
454.0000	370.0000	     nan	     nan	  1.0000
466.0000	370.0000	 11.0845	 35.0000	  0.0000
478.0000	370.0000	  7.4593	 35.0000	  0.0000
490.0000	370.0000	-15.0000	 35.0000	  0.0000
502.0000	370.0000	     nan	     nan	  1.0000
 10.0000	358.0000	     nan	     nan	  1.0000
 22.0000	358.0000	     nan	     nan	  1.0000
 34.0000	358.0000	     nan	     nan	  1.0000
 46.0000	358.0000	     nan	     nan	  1.0000
 58.0000	358.0000	     nan	     nan	  1.0000
 70.0000	358.0000	     nan	     nan	  1.0000
 82.0000	358.0000	     nan	     nan	  1.0000
 94.0000	358.0000	     nan	     nan	  1.0000
106.0000	358.0000	     nan	     nan	  1.0000
118.0000	358.0000	     nan	     nan	  1.0000
130.0000	358.0000	     nan	     nan	  1.0000
142.0000	358.0000	     nan	     nan	  1.0000
154.0000	358.0000	     nan	     nan	  1.0000
166.0000	358.0000	     nan	     nan	  1.0000
178.0000	358.0000	     nan	     nan	  1.0000
190.0000	358.0000	 79.0092	-85.0000	  0.0000
202.0000	358.0000	 53.1169	-25.0000	  0.0000
214.0000	358.0000	-17.2538	-77.9712	  0.0000
226.0000	358.0000	 50.6333	 -2.5398	  0.0000
238.0000	358.0000	 19.8707	  0.2714	  0.0000
250.0000	358.0000	 18.3647	  2.5855	  0.0000
262.0000	358.0000	     nan	     nan	  1.0000
274.0000	358.0000	 83.3902	 88.9451	  0.0000
286.0000	358.0000	-51.3660	 19.7223	  0.0000
